,R-5,L
bluetooth,0.3620011671680228,0.4139018684046583
boots,0.3681694248726728,0.41979232752638895
bags_and_cases,0.3725540958821755,0.4010340094444384
vacuums,0.3481675946924671,0.37649210704202946
tv,0.3559431093887835,0.383340192375925
keyboards,0.39846095826647976,0.41527633624913846
