,R-5,L
bluetooth,0.2255203124094946,0.22791425753503985
boots,0.23050138166545572,0.23104665594518004
bags_and_cases,0.22276160890573904,0.21643599093442942
vacuums,0.2133409645956742,0.236387894432616
tv,0.23510490261445527,0.24809476407718473
keyboards,0.25015262510212244,0.24501643210836113
