,R-5,L
bluetooth,0.15700758918101831,0.2082172166248014
boots,0.1685821298583962,0.22305847324456202
bags_and_cases,0.15193582493452706,0.18073720469771354
vacuums,0.1403638790416134,0.19270805607540847
tv,0.15993747511973377,0.23408629954044255
keyboards,0.17914445346069668,0.23822574425827345
